Platz,Pl.AK,Name,Startnr.,Verein/Team,AK,Finish,Year,Finish_Minutes
1,1,"Koech, Bernard (KEN)",2,–,35-39,1900-01-01 02:04:09,2023,124.15
2,1,"Belet, Joshua (KEN)",14,–,<30,1900-01-01 02:04:33,2023,124.55
3,1,"Kosgei, Martin (KEN)",5,–,30-34,1900-01-01 02:06:18,2023,126.3
4,2,"do Nascimento, Daniel (BRA)",4,–,<30,1900-01-01 02:07:06,2023,127.1
5,3,"Kilimo, Rhonzas (KEN)",24,–,<30,1900-01-01 02:08:08,2023,128.13333333333333
6,2,"Ringer, Richard (GER)",1,–,30-34,1900-01-01 02:08:08,2023,128.13333333333333
7,4,"Musau, Martin (UGA)",11,–,<30,1900-01-01 02:08:45,2023,128.75
8,3,"Welday, Haftom (GER)",12,Hamburger Laufladen e.V.,30-34,1900-01-01 02:09:40,2023,129.66666666666666
9,5,"Bere, Masresha (ETH)",6,–,<30,1900-01-01 02:10:12,2023,130.2
10,4,"Barata, Samuel (POR)",27,–,30-34,1900-01-01 02:10:13,2023,130.21666666666667
11,5,"Buchanan, Andy (AUS)",19,–,30-34,1900-01-01 02:10:20,2023,130.33333333333334
12,6,"Tesfay, Henok (ERI)",8,–,<30,1900-01-01 02:10:21,2023,130.35
13,1,"Zamora, Ernesto (URU)",18,–,40-44,1900-01-01 02:10:35,2023,130.58333333333334
14,6,"de Oliviera, Johnatas (BRA)",32,–,30-34,1900-01-01 02:10:43,2023,130.71666666666667
15,7,"Kemboi, Joshua (KEN)",9,–,30-34,1900-01-01 02:11:01,2023,131.01666666666668
16,8,"Ayala, Derlys (PAR)",16,–,30-34,1900-01-01 02:12:27,2023,132.45
17,7,"Maas, Luuk (NED)",28,–,<30,1900-01-01 02:13:35,2023,133.58333333333334
18,9,"Langat, John (KEN)",7,–,30-34,1900-01-01 02:14:14,2023,134.23333333333332
19,8,"Latsepov, Leonid (EST)",1006,Berlin Charlottenburg Running,<30,1900-01-01 02:14:24,2023,134.4
20,2,"Kebede, Tsegaye (ETH)",3,–,35-39,1900-01-01 02:14:38,2023,134.63333333333333
21,3,"Souza Do Nascimento, Samuel (BRA)",1015,–,35-39,1900-01-01 02:15:01,2023,135.01666666666668
22,9,"Tesfaye, Demeke (ETH)",20,–,<30,1900-01-01 02:15:09,2023,135.15
23,10,"Lopez, Sergio (COL)",34,–,<30,1900-01-01 02:15:15,2023,135.25
24,10,"Orta, Luis (VEN)",30,–,30-34,1900-01-01 02:15:35,2023,135.58333333333334
25,11,"Keppens, Joris (BEL)",25,–,30-34,1900-01-01 02:17:07,2023,137.11666666666667
26,11,"Chun Wong, Wan (HKG)",33,–,<30,1900-01-01 02:19:16,2023,139.26666666666668
27,12,"Hofer, Michael (ITA)",1023,ASV Deutschnofen,<30,1900-01-01 02:19:56,2023,139.93333333333334
28,12,"Pitsolis, Charalampos (GRE)",1016,GAS ILISOS,30-34,1900-01-01 02:21:00,2023,141.0
29,13,"Belachew, Dawit (ETH)",P 11,–,<30,1900-01-01 02:22:03,2023,142.05
30,13,"Cheptoch, Benard (UGA)",P 12,–,30-34,1900-01-01 02:22:03,2023,142.05
31,14,"Kruse, Manuel (GER)",15300,Running Crew Münster,30-34,1900-01-01 02:22:27,2023,142.45
32,14,"Amsalu, Tilahun (ETH)",P 14,–,<30,1900-01-01 02:24:18,2023,144.3
33,2,"Ploner, Markus (ITA)",1005,ASV STERZING,40-44,1900-01-01 02:24:24,2023,144.4
34,15,"Dall-Hansen, Rasmus (DEN)",1026,Sparta,30-34,1900-01-01 02:24:46,2023,144.76666666666668
35,16,"Villy, Ronald (FRA)",1003,AIX ATHLE PROVENCE / TEAM MARATHONIACK,30-34,1900-01-01 02:24:52,2023,144.86666666666667
36,3,"Rungger, Hannes (ITA)",1022,ASC Lauffreunde Sarntal,40-44,1900-01-01 02:25:03,2023,145.05
37,15,"Kaumanns, Jan (GER)",1019,LSF Münster,<30,1900-01-01 02:25:25,2023,145.41666666666666
39,17,"Gärtlein, David (GER)",1027,GWZ-Bayreuth,30-34,1900-01-01 02:26:23,2023,146.38333333333333
40,4,"Piffko, Hannes (GER)",1066,–,35-39,1900-01-01 02:27:37,2023,147.61666666666667
41,4,"Premstaller, Georg (ITA)",1036,ASC Lauffreunde Sarntal,40-44,1900-01-01 02:28:36,2023,148.6
42,16,"Bierlich, Hagen (GER)",1037,Cube Real Estate,<30,1900-01-01 02:28:42,2023,148.7
43,5,"Dr. Schra, Jan (NED)",1074,BB Lopers,35-39,1900-01-01 02:28:54,2023,148.9
44,6,"Hiller, Christian (GER)",1020,Turnerbund Hamburg Eilbeck,35-39,1900-01-01 02:29:26,2023,149.43333333333334
