Tag,Zeit,Feinstaub,Ozon,Stickstoff,Luftqualitätsindex,Year
2016-04-17,01:00,9,65,22,gut,2016
2016-04-17,02:00,9,51,32,gut,2016
2016-04-17,03:00,8,61,18,gut,2016
2016-04-17,04:00,8,66,12,gut,2016
2016-04-17,05:00,7,59,14,sehr gut,2016
2016-04-17,06:00,7,53,17,sehr gut,2016
2016-04-17,07:00,7,51,17,sehr gut,2016
2016-04-17,08:00,6,50,15,sehr gut,2016
2016-04-17,09:00,6,57,11,sehr gut,2016
2016-04-17,10:00,6,65,9,gut,2016
2016-04-17,11:00,6,70,8,gut,2016
2016-04-17,12:00,6,77,6,gut,2016
2016-04-17,13:00,6,82,6,gut,2016
2016-04-17,14:00,6,84,7,gut,2016
2016-04-17,15:00,6,87,7,gut,2016
2016-04-17,16:00,5,86,7,gut,2016
2016-04-17,17:00,5,83,7,gut,2016
2016-04-17,18:00,5,83,7,gut,2016
2016-04-17,19:00,5,83,8,gut,2016
2016-04-17,20:00,5,80,10,gut,2016
2016-04-17,21:00,6,78,13,gut,2016
2016-04-17,22:00,6,78,12,gut,2016
2016-04-17,23:00,7,67,18,gut,2016
2016-04-17,24:00,7,58,21,gut,2016
2017-04-23,01:00,7,60,17,sehr gut,2017
2017-04-23,02:00,7,63,12,gut,2017
2017-04-23,03:00,8,66,9,gut,2017
2017-04-23,04:00,8,65,9,gut,2017
2017-04-23,05:00,8,68,8,gut,2017
2017-04-23,06:00,8,69,9,gut,2017
2017-04-23,07:00,8,78,6,gut,2017
2017-04-23,08:00,8,68,13,gut,2017
2017-04-23,09:00,8,64,13,gut,2017
2017-04-23,10:00,8,77,9,gut,2017
2017-04-23,11:00,8,79,8,gut,2017
2017-04-23,12:00,8,84,6,gut,2017
2017-04-23,13:00,8,86,6,gut,2017
2017-04-23,14:00,8,86,6,gut,2017
2017-04-23,15:00,8,88,6,gut,2017
2017-04-23,16:00,8,88,7,gut,2017
2017-04-23,17:00,8,87,7,gut,2017
2017-04-23,18:00,8,84,9,gut,2017
2017-04-23,19:00,8,85,9,gut,2017
2017-04-23,20:00,7,83,9,gut,2017
2017-04-23,21:00,7,81,11,gut,2017
