Year,Date,Uhrzeit,Date_Uhrzeit,Wetter,Temp_Celcius,Wind_kmperhour,Luftfeuchte,Barometer_hPa
2023,2023-04-23,00:20:00,2023-04-23 00:20:00,Leichter Regen. Heiter.,15,4.0,0.82,1006
2023,2023-04-23,00:50:00,2023-04-23 00:50:00,Leichter Regen. Heiter.,15,6.0,0.82,1006
2023,2023-04-23,01:20:00,2023-04-23 01:20:00,Vorüberziehende Wolken.,14,4.0,0.88,1005
2023,2023-04-23,02:50:00,2023-04-23 02:50:00,Leichter Regen. Vorüberziehende Wolken.,14,11.0,0.88,1005
2023,2023-04-23,03:20:00,2023-04-23 03:20:00,Vorüberziehende Wolken.,13,9.0,0.94,1005
2023,2023-04-23,04:20:00,2023-04-23 04:20:00,Bedeckt.,10,22.0,0.94,1006
2023,2023-04-23,04:50:00,2023-04-23 04:50:00,Meist bewölkt.,10,17.0,0.94,1006
2023,2023-04-23,05:20:00,2023-04-23 05:20:00,Leichter Regen. Meist bewölkt.,10,15.0,0.94,1006
2023,2023-04-23,05:50:00,2023-04-23 05:50:00,Meist bewölkt.,10,19.0,0.94,1006
2023,2023-04-23,06:20:00,2023-04-23 06:20:00,Meist bewölkt.,9,13.0,0.94,1006
2023,2023-04-23,06:50:00,2023-04-23 06:50:00,Wolkig.,9,13.0,0.94,1006
2023,2023-04-23,07:20:00,2023-04-23 07:20:00,Heiter.,9,11.0,0.94,1007
2023,2023-04-23,07:50:00,2023-04-23 07:50:00,Teilweise sonnig.,9,13.0,0.94,1007
2023,2023-04-23,08:20:00,2023-04-23 08:20:00,Heiter.,9,13.0,0.87,1007
2023,2023-04-23,09:20:00,2023-04-23 09:20:00,Vorüberziehende Wolken.,10,9.0,0.82,1007
2023,2023-04-23,09:50:00,2023-04-23 09:50:00,Vorüberziehende Wolken.,10,7.0,0.76,1007
2023,2023-04-23,10:20:00,2023-04-23 10:20:00,Vorüberziehende Wolken.,11,9.0,0.77,1007
2023,2023-04-23,10:50:00,2023-04-23 10:50:00,Vorüberziehende Wolken.,11,9.0,0.77,1007
2023,2023-04-23,11:20:00,2023-04-23 11:20:00,Vorüberziehende Wolken.,13,7.0,0.67,1007
2023,2023-04-23,11:50:00,2023-04-23 11:50:00,Vorüberziehende Wolken.,13,7.0,0.67,1006
2023,2023-04-23,12:20:00,2023-04-23 12:20:00,Vorüberziehende Wolken.,14,13.0,0.63,1006
2023,2023-04-23,12:50:00,2023-04-23 12:50:00,Vorüberziehende Wolken.,15,11.0,0.63,1006
2023,2023-04-23,13:20:00,2023-04-23 13:20:00,Sonnig.,16,7.0,0.59,1006
2023,2023-04-23,13:50:00,2023-04-23 13:50:00,Vorüberziehende Wolken.,16,17.0,0.55,1006
2023,2023-04-23,14:20:00,2023-04-23 14:20:00,Vorüberziehende Wolken.,17,13.0,0.56,1005
2023,2023-04-23,14:50:00,2023-04-23 14:50:00,Vorüberziehende Wolken.,18,11.0,0.52,1005
2023,2023-04-23,15:20:00,2023-04-23 15:20:00,Vorüberziehende Wolken.,18,17.0,0.49,1005
2023,2023-04-23,15:50:00,2023-04-23 15:50:00,Sonnig.,18,19.0,0.52,1005
2023,2023-04-23,16:20:00,2023-04-23 16:20:00,Einzelne Schauer. Vorüberziehende Wolken.,18,11.0,0.52,1004
2023,2023-04-23,16:50:00,2023-04-23 16:50:00,Regenschauer. Heiter.,13,41.0,0.82,1005
2023,2023-04-23,17:20:00,2023-04-23 17:20:00,Regenschauer. Heiter.,14,6.0,0.72,1004
2023,2023-04-23,17:50:00,2023-04-23 17:50:00,Sonnig.,15,4.0,0.68,1004
2023,2023-04-23,18:20:00,2023-04-23 18:20:00,Einzelne Schauer. Vorüberziehende Wolken.,16,4.0,0.72,1004
2023,2023-04-23,18:50:00,2023-04-23 18:50:00,Regenschauer. Heiter.,14,19.0,0.77,1004
2023,2023-04-23,19:20:00,2023-04-23 19:20:00,Nieselschauer. Heiter.,14,15.0,0.72,1003
2023,2023-04-23,19:50:00,2023-04-23 19:50:00,Nieselschauer. Teilweise sonnig.,13,11.0,0.82,1003
2023,2023-04-23,20:20:00,2023-04-23 20:20:00,Einzelne Schauer. Heiter.,12,6.0,0.94,1003
2023,2023-04-23,20:50:00,2023-04-23 20:50:00,Heiter.,12,7.0,0.88,1003
